Wed Apr  3 22:54:11 2019;1554324851.683403;3.05087
Wed Apr  3 22:54:26 2019;1554324866.8568544;3.05045
Wed Apr  3 22:54:42 2019;1554324882.0379505;3.05003
Wed Apr  3 22:54:57 2019;1554324897.219695;3.0496
Wed Apr  3 22:55:12 2019;1554324912.3927293;3.04918
Wed Apr  3 22:55:27 2019;1554324927.5671616;3.04876
Wed Apr  3 22:55:42 2019;1554324942.7516413;3.04834
Wed Apr  3 22:55:57 2019;1554324957.9314108;3.04792
Wed Apr  3 22:56:13 2019;1554324973.1070328;3.0475
Wed Apr  3 22:56:28 2019;1554324988.285016;3.04709
Wed Apr  3 22:56:43 2019;1554325003.4721122;3.04668
Wed Apr  3 22:56:58 2019;1554325018.6523185;3.04626
Wed Apr  3 22:57:13 2019;1554325033.835882;3.04583
Wed Apr  3 22:57:29 2019;1554325049.0156538;3.04543
Wed Apr  3 22:57:44 2019;1554325064.1927464;3.04501
Wed Apr  3 22:57:59 2019;1554325079.3741517;3.0446
Wed Apr  3 22:58:14 2019;1554325094.5578182;3.04419
Wed Apr  3 22:58:29 2019;1554325109.7420273;3.04378
Wed Apr  3 22:58:44 2019;1554325124.9266584;3.04338
Wed Apr  3 22:59:00 2019;1554325140.1130135;3.04297
Wed Apr  3 22:59:15 2019;1554325155.2967472;3.04256
Wed Apr  3 22:59:30 2019;1554325170.4848933;3.04216
Wed Apr  3 22:59:45 2019;1554325185.662478;3.04175
Wed Apr  3 23:00:00 2019;1554325200.8418088;3.04135
Wed Apr  3 23:00:16 2019;1554325216.025847;3.04095
Wed Apr  3 23:00:31 2019;1554325231.214652;3.04054
Wed Apr  3 23:00:46 2019;1554325246.4049692;3.04014
Wed Apr  3 23:01:01 2019;1554325261.5878572;3.03974
Wed Apr  3 23:01:16 2019;1554325276.7728577;3.03935
Wed Apr  3 23:01:31 2019;1554325291.9551523;3.03895
Wed Apr  3 23:01:47 2019;1554325307.139429;3.03856
Wed Apr  3 23:02:02 2019;1554325322.326678;3.03817
Wed Apr  3 23:02:17 2019;1554325337.5136495;3.03777
Wed Apr  3 23:02:32 2019;1554325352.6964915;3.03738
Wed Apr  3 23:02:47 2019;1554325367.8832395;3.03699
Wed Apr  3 23:03:03 2019;1554325383.0668743;3.03659
Wed Apr  3 23:03:18 2019;1554325398.2555878;3.0362
Wed Apr  3 23:03:33 2019;1554325413.4466858;3.03581
Wed Apr  3 23:03:48 2019;1554325428.633695;3.03543
Wed Apr  3 23:04:03 2019;1554325443.8201265;3.03504
Wed Apr  3 23:04:19 2019;1554325459.0067482;3.03465
Wed Apr  3 23:04:34 2019;1554325474.2003524;3.03426
Wed Apr  3 23:04:49 2019;1554325489.3894632;3.03387
Wed Apr  3 23:05:04 2019;1554325504.5741558;3.0335
Wed Apr  3 23:05:19 2019;1554325519.7703965;3.03311
Wed Apr  3 23:05:34 2019;1554325534.9578636;3.03272
Wed Apr  3 23:05:50 2019;1554325550.1428483;3.03234
